,CS Schools,City,School,Class,Gender,Grade,Math_selfefficacy,Tablets_utility,CS_utility,Tablets_selfefficacy,Robots_interest,Tablets_interest,CS_selfefficacy,General_selfefficacy,Robots_utility,Robots_selfefficacy,CS_interest,Sport_selfefficacy,French_selfefficacy,Who_Teacher,Who_Mom,Who_Dad,Who_Student,Who_Other,Who_Nobody,General_selfefficacy,French_selfefficacy,Sport_selfefficacy,Math_selfefficacy
0,1,1,School_1,Class_1,Girl,3,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0,0,0,1,0,0,2.0,2.0,1.0,2.0
1,1,1,School_1,Class_1,Girl,3,0.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1,0,1,1,0,0,1.0,1.0,1.0,0.0
2,1,1,School_1,Class_1,Boy,3,1.0,2.0,2.0,2.0,2.0,2.0,-2.0,2.0,2.0,0.0,2.0,2.0,2.0,0,0,0,0,0,1,2.0,2.0,2.0,1.0
3,1,1,School_1,Class_1,Girl,3,2.0,0.0,0.0,1.0,-2.0,2.0,2.0,2.0,-2.0,-1.0,2.0,2.0,2.0,1,0,1,0,0,0,2.0,2.0,2.0,2.0
4,1,1,School_1,Class_1,Girl,3,2.0,2.0,0.0,0.0,-1.0,-1.0,1.0,2.0,0.0,2.0,-1.0,2.0,1.0,1,0,0,0,1,0,2.0,1.0,2.0,2.0
5,1,1,School_1,Class_1,Girl,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1,1,1,1,0,0,2.0,2.0,2.0,2.0
6,1,1,School_1,Class_1,Boy,3,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,1,1,1,0,1,0,2.0,2.0,2.0,1.0
7,1,1,School_1,Class_1,Boy,3,2.0,-2.0,-2.0,2.0,2.0,-2.0,2.0,2.0,-2.0,-2.0,-2.0,2.0,2.0,1,1,0,0,1,0,2.0,2.0,2.0,2.0
8,1,1,School_1,Class_1,Girl,3,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,-2.0,2.0,-1.0,2.0,1,1,1,0,1,0,2.0,2.0,-1.0,1.0
9,1,1,School_1,Class_1,Boy,3,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,-1.0,2.0,0.0,0,1,1,0,1,0,2.0,0.0,2.0,2.0
10,1,1,School_1,Class_1,Boy,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0,1,1,1,0,1,2.0,2.0,2.0,2.0
11,1,1,School_1,Class_1,Girl,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1,1,1,1,0,0,2.0,2.0,1.0,2.0
12,1,1,School_1,Class_1,Boy,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0,1,1,0,0,0,1.0,1.0,2.0,2.0
