,School,Class,Grade,Gender,cCTt - total score,cCTt - Number of cCTt questions the students answered,cCTt - Proportion of correct responses,Tablet-related interest,Robot-related utility,Tablet-related utility,Tablet-related self-efficacy,Robot-related interest,CS-related interest,CS-related utility,Robot-related self-efficacy,CS-related self-efficacy,School-related self-efficacy,Teacher as a CS role model,Mother as a CS role model,Father as a CS role model,A student as a CS role model,Other person as a CS role model,Nobody as a CS role model,Number of periods the teacher spent teaching the robot game,Number of periods the teacher spent teaching the sorting machine,Number of periods the teacher spent teaching the treasure hunting game,Number of periods the teacher spent teaching the pixel game,Number of periods the teacher spent teaching salmon sorting,Number of periods the teacher spent teaching the crane game,Number of periods the teacher spent teaching the Bluebot,Number of periods the teacher spent teaching CS activities,Number of periods the teacher spent teaching Cryptography,Number of periods the teacher spent teaching Caesar's code,Number of periods the teacher spent teaching networks,Number of periods the teacher spent teaching Square CT,Number of periods the teacher spent teaching Thymio with VPL,Number of periods the teacher spent teaching Bebras challenges,Number of periods the teacher spent teaching about binary code,Number of periods the teacher spent teaching about sorting,City,Number of periods the teacher spent teaching Scratch Jr,Number of periods the teacher spent teaching Thymio with pre-programmed behaviors,Number of periods the teacher spent teaching algorithms,Number of CS activities the teacher taught
0,School_1,Class_1,3,Boy,4.0,17.0,23.52941176470588,2.0,0.0,2.0,2.0,2.0,2.0,1.0,-2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
1,School_1,Class_1,3,Girl,3.0,17.0,17.647058823529413,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
2,School_1,Class_1,3,Boy,4.0,17.0,23.52941176470588,2.0,2.0,2.0,-2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
3,School_1,Class_1,3,Girl,,,,0.0,2.0,2.0,-2.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
4,School_1,Class_1,3,Boy,8.0,17.0,47.05882352941176,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
5,School_1,Class_1,3,Girl,5.0,17.0,29.411764705882355,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
6,School_1,Class_1,3,Boy,1.0,17.0,5.88235294117647,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
7,School_1,Class_1,3,Boy,2.0,17.0,11.76470588235294,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
8,School_1,Class_1,3,Boy,6.0,17.0,35.294117647058826,2.0,2.0,2.0,2.0,2.0,-2.0,2.0,-2.0,-2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
9,School_1,Class_1,3,Girl,6.0,17.0,35.294117647058826,2.0,2.0,2.0,2.0,2.0,1.0,2.0,-1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
10,School_1,Class_1,3,Girl,7.0,17.0,41.17647058823529,2.0,2.0,2.0,2.0,2.0,0.0,-1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
11,School_1,Class_1,3,Girl,8.0,17.0,47.05882352941176,1.0,2.0,2.0,2.0,-2.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
12,School_1,Class_1,3,Girl,0.0,17.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,-1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
13,School_1,Class_1,3,Boy,10.0,17.0,58.82352941176471,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
14,School_1,Class_1,3,Boy,5.0,17.0,29.411764705882355,2.0,2.0,2.0,2.0,-1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
15,School_1,Class_1,3,Boy,4.0,17.0,23.52941176470588,2.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
16,School_1,Class_1,3,Girl,15.0,17.0,88.23529411764706,2.0,2.0,2.0,2.0,-1.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
17,School_1,Class_1,3,Girl,5.0,17.0,29.411764705882355,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
18,School_1,Class_2,3,,6.0,17.0,35.294117647058826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,School_1,Class_2,3,,6.0,17.0,35.294117647058826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,School_1,Class_2,3,,7.0,17.0,41.17647058823529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,School_1,Class_2,3,,6.0,17.0,35.294117647058826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,School_1,Class_2,3,,8.0,17.0,47.05882352941176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,School_1,Class_2,3,,8.0,17.0,47.05882352941176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,School_1,Class_2,3,,2.0,17.0,11.76470588235294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,School_1,Class_2,3,,9.0,17.0,52.94117647058824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,School_1,Class_2,3,,10.0,17.0,58.82352941176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,School_1,Class_2,3,,4.0,17.0,23.52941176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,School_1,Class_2,3,,13.0,17.0,76.47058823529412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,School_1,Class_2,3,,5.0,17.0,29.411764705882355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,School_1,Class_2,3,,8.0,17.0,47.05882352941176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,School_1,Class_2,3,,10.0,17.0,58.82352941176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,School_1,Class_2,3,,4.0,17.0,23.52941176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,School_1,Class_3,3,,4.0,17.0,23.52941176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,School_1,Class_3,3,,7.0,17.0,41.17647058823529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,School_1,Class_3,3,,3.0,17.0,17.647058823529413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,School_1,Class_3,3,,13.0,17.0,76.47058823529412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,School_1,Class_3,3,,6.0,17.0,35.294117647058826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,School_1,Class_3,3,,8.0,17.0,47.05882352941176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,School_1,Class_3,3,,2.0,17.0,11.76470588235294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,School_1,Class_3,3,,4.0,17.0,23.52941176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,School_1,Class_3,3,,7.0,17.0,41.17647058823529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,School_1,Class_3,3,,6.0,17.0,35.294117647058826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,School_1,Class_3,3,,4.0,17.0,23.52941176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,School_1,Class_3,3,,8.0,17.0,47.05882352941176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,School_1,Class_3,3,,8.0,17.0,47.05882352941176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,School_1,Class_3,3,,11.0,17.0,64.70588235294117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,School_1,Class_3,3,,7.0,17.0,41.17647058823529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,School_1,Class_4,3,,7.0,17.0,41.17647058823529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,School_1,Class_4,3,,11.0,17.0,64.70588235294117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,School_1,Class_4,3,,9.0,17.0,52.94117647058824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,School_1,Class_4,3,Boy,,,,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,2.0
52,School_1,Class_4,3,,8.0,17.0,47.05882352941176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,School_1,Class_4,3,,14.0,17.0,82.35294117647058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,School_1,Class_4,3,,4.0,17.0,23.52941176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,School_1,Class_4,3,,3.0,17.0,17.647058823529413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,School_1,Class_4,3,,8.0,17.0,47.05882352941176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,School_1,Class_4,3,,11.0,17.0,64.70588235294117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,School_1,Class_4,3,,5.0,17.0,29.411764705882355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,School_1,Class_4,3,Boy,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,2.0
60,School_1,Class_4,3,,5.0,17.0,29.411764705882355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,School_1,Class_4,3,,4.0,17.0,23.52941176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,School_1,Class_4,3,,8.0,17.0,47.05882352941176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,School_1,Class_4,3,,5.0,17.0,29.411764705882355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,School_1,Class_4,3,,4.0,17.0,23.52941176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,School_1,Class_4,3,,7.0,17.0,41.17647058823529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,School_1,Class_4,3,,0.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,School_1,Class_5,4,,11.0,23.0,47.82608695652174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,School_1,Class_5,4,Boy,23.0,23.0,100.0,2.0,0.0,2.0,2.0,-2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
69,School_1,Class_5,4,Boy,16.0,23.0,69.56521739130434,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,-2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
70,School_1,Class_5,4,Girl,,,,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
71,School_1,Class_5,4,Girl,12.0,23.0,52.17391304347826,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,-1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
72,School_1,Class_5,4,Boy,20.0,23.0,86.95652173913044,2.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0
