School Name,BRIN
'n Esch,11LK
"'s Gravendreef College voor vbo, mavo en havo",31EW
't Geerke,10KS
't Getij,18GS
't Gijmink,10CT
't Hunnighouwersgat,18IU
't Jok,18LY
't Kampke,10XP
't Kienholt,13AZ
't Kleurenbos,31FJ
't Kofschip,16AZ
't Kofschip,27PK
't Kompas School met de Bijbel,06TA
't Kraaienest,12VH
'T Paalhoofd,05VJ
't Padland,10VB
't Palet,17RZ
't Praathuis,12EA
't Prisma,11FX
'T Rastholt,22KM
't Reigerbos,04GH
't Schoolhuys,10GR
't Schrijverke,03QO
't Slingertouw,26PM
't Speel-Kwartier,30XT
't Startblok,32EL
't Twiespan,04LL
.Kindcentrum De Optimist,30PM
12e Openbare Basisschool de Vuurvlinder,24AD
15e Montessorischool Maas en Waal,31FN
1e Ned Montessorischool,05VX
1e Van der Huchtschool voor Basisonderwijs,08CN
2College voor Lyceum Havo Mavo Vbo,16OX
2e Marnixschool Christelijk Basisonderwijs,04NN
2e van der Huchtschool voor Basisonderwijs,09DI
3e van de Huchtschool voor Basisonderwijs,23TM
3Sprong,15LH
5e Montessorischool Watergraafsmeer,20TW
"7e Montessorischool, Openbare School voor Basisonderwijs",20UP
A. Bekemaschool,03TT
a.z.s. De Wissel,15XA
aan 't Heike,07MD
Aan Boord,14PU
abbs Elzenhagen,28BZ
Aboe Ayoeb Al Ansari,32EN
Acaciahof,15XC
Accent Praktijkonderwijs,26HU
Accent Praktijkonderwijs Capelle,26HR
Accent Praktijkonderwijs Centrum,04IK
Accent Praktijkonderwijs Delfshaven,07HF
Accent praktijkonderwijs Hoogvliet,28DF
Ackerweide,27CK
Admiraal De Ruyterschool,07JH
Admiraal De Ruyterschool,09JK
Adriaan Roland Holstschool,04NH
Aeres Praktijkonderwijs Emmeloord,05NV
Aeres VMBO Almere,27VD
Aeres VMBO en Aeres MBO,25GV
Agnes,17AP
Agnesschool,11EU
Agnietenschool,00DZ
Agora HUB030,31VZ
Aida,32DD
"Aida College voor mavo, havo en vwo",32DC
Airborneschool,11YE
Al Amana College Ede,32KL
Al Amana College Utrecht,32CY
Al Amana Ede-Noord,24ER
Al Amana Ede-Zuid,31EC
Al Amana Leidsche Rijn,31JR
Al Amana Nijkerk,32HE
Al Amana Overvecht,32BZ
Al Amana Veenendaal,32CA
Al Amana Zeist,31LM
Al Amana Zuilen,24ZJ
Al Amana Zwolle,30XB
Al Andalous,30WY
Al Ikhlaas,31LC
al Jawhara,30UF
Al Qoeba,27PC
Al Wafa,27PR
al Yaqoet,30UE
Al-Ghazali,22NT
Al-Hikma,32GT
Al-Ihsaan,28BL
Alan Turingschool,16FV
"Alberdingk Thijm Scholen Vwo, Havo, Mavo, Vbo, LWOO",00PS
Albert Schweitzer,17SW
Albert Schweitzer-School,08JS
Albert Schweitzerschool,07NM
Albertine Agnesschool,15WU
Aldoende,18UR
"Algemeen Bijzondere basisschool ""de Fluessen""",04NA
Algemeen Bijzondere Basisschool Het Universum,31AZ
Algemeen Bijzondere Basisschool Icarus,24PX
Algemeen Bijzondere School voor Praktijkonderwijs De Sprong,26HD
Algemene Basisschool te Middelburg,22MP
Algemene Hindoeschool,25GH
Alkwin Kollege Rooms Katholieke Scholengemeenschap voor Vwo en Havo,14VG
Alles in één school De Zuidsprong,16ZT
Almende College voor Gymnasium Atheneum Havo Mavo Vbo Lwoo,14UM
"Almere College, Ontmoetingsschool voor PRO LWOO VMBO HAVO VWO",01XN
Aloysius College voor mavo en havo,32JR
Aloysiusschool voor Basisonderwijs,03NJ
Altena College Christelijke Scholengemeenschap voor Atheneum Havo en Mavo,02XS
Amadeus Lyceum voor Vwo Havo Mavo,00RO
Amalia Astroschool voor Christelijk Basisonderwijs,06GW
Amerikaschool,08GQ
Amstelschool,09OV
Amstelveen College Opb Ssm voor Gymnasium Havo en Mavo,19XY
Amsterdamse Montessorischool,09MQ
Andreas College Christelijke Scholengemeenschap voor VWO Havo Vmbo,25GD
Angelaschool,03QY
Anna van Rijn College Openb. Scholengemeenschap voor Ath Havo Mavo,18WS
Anne Frank,22KG
Anne Frankschool,09MZ
Anne Frankschool,09MS
Anne Frankschool,11EI
Annie MG Schmidtschool,19LY
Anspach school,08PJ
Antonius,03UN
Antonius Basissch,06YT
Antonius School,06VX
Antoniusschool,12WN
Antoniusschool voor Basisonderwijs,15DA
Apollo,13UL
Apollo II school voor Openbaar Basisonderwijs,10DL
Arembergschool,03FU
Arentheem College Interconfessionele School voor Atheneum Gymnasium Havo Vmbo,07PK
Arentschool,14HY
Arjen Roelofsskoalle,10KZ
Arnhemse Montessorischool te Arnhem,04ML
Asch van Wijckschool,17XZ
"Ashram College KSG voor vwo, havo, mavo en vbo",04DF
ASVO,04IU
Atheneum College Hageveld,02UC
Atheneum van de Trevianum Scholengroep,01MO
Atlantis,29XE
"Atlas Onderwijsgroep voor gymnasium, atheneum, havo, vmbo",20CQ
ATO - kindcentrum Aan de Oosterplas,12LF
"ATO, basisschool Caleidoscoop",18RO
"ATO, basisschool De Groote Wielen",27YZ
"ATO, basisschool De Hobbit",11AZ
"ATO, basisschool Het Rondeel",18OD
"ATO, basisschool L W Beekman",09ZH
"ATO, basisschool Meander",24AY
"ATO, basisschool Noorderlicht",10RL
"ATO, jenaplan kindcentrum De Ontdekking",18MZ
"ATO, Kindcentrum De Hoven",30BA
"ATO, Kindcentrum Sterrenboom",11ZC
"ATO, montessorischool Merlijn",21NM
ATO-Kindcentrum De Pionier,18PN
ATO-Kindcentrum De Terp,21RE
Augustinianum Scholengemeenschap voor Vwo en Havo,01FY
Augustinus,18AP
Augustinusschool,15LL
Augustinusschool,06SJ
Auryn,32BY
"Avicenna College Den Haag voor mavo, havo en vwo",32DE
"Avicenna College voor vwo, havo, mavo en vbo",30WH
Avonturijn,17RO
AZC-school Oisterwijk,10VR
Azzahraa,32GU
Baanderherencollege Praktijkonderwijs,26MZ
Baanderherencollege Vmbo,04XU
Banisschool,19RJ
